Size Category,Est. Enrollment,University,# Contacts,Contact Names,Contact Emails
"Mega (50,000+)",170000,Southern New Hampshire University,7,School of Business – Dean’s Office | Department of Finance & Accounting | Office of Student Engagement | Career & Professional Development | Employer Relations,business@snhu.edu | finance@snhu.edu | studentengagement@snhu.edu | career@snhu.edu | employerrelations@snhu.edu
"Mega (50,000+)",120000,Western Governors University,6,Dr. David Steele | business@wgu.edu | Dr. Douglas Shinkle | careerservices@wgu.edu | employerrelations@wgu.edu,david.steele@wgu.edu | business@wgu.edu | doug.shinkle@wgu.edu | careerservices@wgu.edu | employerrelations@wgu.edu
"Mega (50,000+)",120000,Western Governors University – Indiana,6,Dr. David Steele | indianainfo@wgu.edu | business@wgu.edu | careerservices@wgu.edu | employerrelations@wgu.edu,david.steele@wgu.edu | indianainfo@wgu.edu | business@wgu.edu | careerservices@wgu.edu | employerrelations@wgu.edu
"Mega (50,000+)",120000,Western Governors University Texas,6,Dr. David Steele | texasinfo@wgu.edu | business@wgu.edu | careerservices@wgu.edu | employerrelations@wgu.edu,david.steele@wgu.edu | texasinfo@wgu.edu | business@wgu.edu | careerservices@wgu.edu | employerrelations@wgu.edu
"Mega (50,000+)",120000,Western Governors University Utah,6,Dr. David Steele | utahinfo@wgu.edu | business@wgu.edu | careerservices@wgu.edu | employerrelations@wgu.edu,david.steele@wgu.edu | utahinfo@wgu.edu | business@wgu.edu | careerservices@wgu.edu | employerrelations@wgu.edu
"Mega (50,000+)",120000,Western Governors University Washington,6,Dr. David Steele | washingtoninfo@wgu.edu | business@wgu.edu | careerservices@wgu.edu | employerrelations@wgu.edu,david.steele@wgu.edu | washingtoninfo@wgu.edu | business@wgu.edu | careerservices@wgu.edu | employerrelations@wgu.edu
"Mega (50,000+)",100000,Liberty University,10,School of Business – Dean’s Office | Dave Brat | Department of Finance & Economics | Center for Entrepreneurship | Business Student Organizations (Routing),business@liberty.edu | dbrat@liberty.edu | financeandecon@liberty.edu | entrepreneurship@liberty.edu | studentorgs@liberty.edu
"Mega (50,000+)",90000,Grand Canyon University,8,GCU Clubs (Club Hub) | Abigail Castillo | Dr. Randy Gibb | Marquis Scott | GCU Marketing Department,clubs@gcu.edu | abigail.castillo@gcu.edu | randy.gibb@gcu.edu | marquis.scott@gcu.edu | marketing@gcu.edu
"Mega (50,000+)",74000,Texas A&M University,3,Nate Y. Sharp | Student Activities | Experiential Learning,nsharp@mays.tamu.edu | studentactivities@tamu.edu | experientiallearning@tamu.edu
"Mega (50,000+)",74000,Texas A&M University–Commerce,6,College of Business | Mark J. Anderson | Department of Marketing & Business Analytics | Office of Student Involvement & Leadership | Office of Student Involvement & Leadership,business@tamuc.edu | mark.anderson@tamuc.edu | mba@tamuc.edu | studentengagement@tamuc.edu | studentengagement@tamuc.edu
"Mega (50,000+)",74000,Texas A&M University–San Antonio,6,Farid Elgabry | Economics Program | Office of Student Engagement | Office of Student Engagement | Experiential Learning,farid.elgabry@tamusa.edu | economics@tamusa.edu | studentengagement@tamusa.edu | studentengagement@tamusa.edu | experientiallearning@tamusa.edu
"Mega (50,000+)",74000,West Texas A&M University,14,Department of Finance & Economics | Undergraduate Business Programs | Student Engagement & Leadership | Student Affairs | Undergraduate Admissions,business@wtamu.edu | business@wtamu.edu | getinvolved@wtamu.edu | getinvolved@wtamu.edu | admissions@wtamu.edu
"Mega (50,000+)",74000,Texas A&M University – McAllen,5,Texas A&M Higher Education Center at McAllen | Mays Business School | Career Center | Student Affairs | Admissions,mcallen@tamu.edu | info@mays.tamu.edu | careercenter@tamu.edu | studentaffairs@tamu.edu | admissions@tamu.edu
"Mega (50,000+)",74000,Texas A&M University–Central Texas,2,Student Affairs | Admissions Office,studentaffairs@tamuct.edu | admissions@tamuct.edu
"Mega (50,000+)",74000,Texas A&M University–Galveston,5,Dr. Robert H. Bishop | Maritime Business Administration Program | Career Services | Student Affairs | Admissions Office,rbishop@tamug.edu | mba@tamug.edu | careercenter@tamug.edu | studentaffairs@tamug.edu | admissions@tamug.edu
"Mega (50,000+)",74000,Texas A&M University–Kingsville,2,Student Engagement | Admissions Office,studentengagement@tamuk.edu | admissions@tamuk.edu
"Mega (50,000+)",74000,Texas A&M University–Texarkana,5,"Dr. David R. Hall | College of Business, Engineering & Technology | Career Services | Student Life | Admissions Office",dhall@tamut.edu | cbet@tamut.edu | careers@tamut.edu | studentlife@tamut.edu | admissions@tamut.edu
"Mega (50,000+)",74000,West Texas A&M University – Canyon,4,Dr. Bobby Martindale | cob@wtamu.edu | employerrelations@wtamu.edu | studentengagement@wtamu.edu,bmartindale@wtamu.edu | cob@wtamu.edu | employerrelations@wtamu.edu | studentengagement@wtamu.edu
