Day,Track,Title,Speaker,Type,Duration
Workshop,Bonus Workshop,OpenClaw: AI for Appraisers,Roy Meyer,Workshop,3 hours
Workshop,Bonus Workshop,Use AI to Build Your First App,Hansel Dobbs,Workshop,7 hours
Fri Sep 18,Main Stage,Housing Right Now: What the Data Says - and What Appraisers Are Seeing on the Ground,Michael Hobbs,Panel,60 minutes
Fri Sep 18,Main Stage,Keynote Friday 1,TBD,Solo,TBD
Fri Sep 18,Appraising in 2027,"The 2026 Housing Market So Far: Volume, Home Price and Supply Trends, and Appraisal Waivers Usage",Tobias Peter,Solo,60 minutes
Fri Sep 18,Main Stage,The Future of New Construction,TBD,Solo,TBD
Fri Sep 18,Main Stage,How Major Cities Are Rewriting Zoning and What It Means for Value,TBD,Solo,TBD
Fri Sep 18,Appraising in 2027,QC & Review in the UAD 3.6 Era: What Will Get Flagged and Why,Susan Alley,Panel,60 minutes
Fri Sep 18,Main Stage,Redefining Risk: How Data and Policy Are Shaping the Housing Market,TBD,Panel,TBD
Fri Sep 18,Main Stage,"The Appraisal Foundation's View: Standards, Change, and the Road Ahead",Kelly Davids,Solo,30 minutes
Fri Sep 18,Appraising in 2027,UAD 3.6 Readiness: What's Changing and How to Avoid Costly Mistakes,Joshua Walitt,Solo,60 minutes
Fri Sep 18,Main Stage,Running a Modern Appraisal Firm Under UAD 3.6,Chad Barker,Solo,60 minutes
Fri Sep 18,Appraising in 2027,The Power of Referrals,Daniel Lindeman,Solo,30 minutes
Fri Sep 18,AI Ready Appraiser,Using AI Beyond the Appraisal Process: Creating Value Across the Valuation Workflow,Narainder Chandwani,Solo,60 minutes
Fri Sep 18,Tech Demos,SFREP Demo: Appraise-It Pro and Appraiser-First Reporting,Remington Jones,Demo,3 hours
Fri Sep 18,Career Launchpad,Pricing for Agents: A Repeatable System (Workshop),Louis Pitoni,Workshop,2 hours
Fri Sep 18,New Revenue Playbook,Personal Property Valuation: A New Revenue Path for Appraisers,Patrick Livingston,Solo,30 minutes
Fri Sep 18,Career Launchpad,Life After Certification: What the First Years Really Look Like,Gynell Vestal,Panel,60 minutes
Fri Sep 18,AI Ready Appraiser,When Data Is Everywhere: Why Appraisers Matter More in an AI World,"Taylor Curd, Gavin Curd",Solo,60 minutes
Fri Sep 18,New Revenue Playbook,Going from 100% Lender Work to 70% Private Work,Carole Henrysen Strugala,Solo,30 minutes
Fri Sep 18,Career Launchpad,So You Want to Be an Appraiser? What the Job Really Is — and Why It Matters,Cathy Putegnat,Solo,60 minutes
Fri Sep 18,Tech Demos,Unleash OpenClaw - Building Your 24/7 AI Appraisal Assistant,Roy Meyer,Workshop,3 hours
Fri Sep 18,AI Ready Appraiser,AI for Appraisers: A Practical Starter Kit That Actually Works,Roy Meyer,Solo,60 minutes
Fri Sep 18,Career Launchpad,Beyond Comps: Advanced Pricing Strategies for Competitive Markets,Allison Rodriguez,Solo,60 minutes
Fri Sep 18,Main Stage,Navigating UAD 3.6: Appraisers Compare Notes,Adam Winstead,Solo,60 minutes
Fri Sep 18,Main Stage,AI Keynote,TBD,Solo,TBD
Fri Sep 18,AI Ready Appraiser,A Practical Guide to Deploying AI,Jeff Morley,Solo,60 minutes
Fri Sep 18,AI Ready Appraiser,Creating Your First Application Without Knowing Any Code,TBD,Solo,TBD
Fri Sep 18,New Revenue Playbook,The World of Desktop and Hybrid Appraising,TBD,Solo,TBD
Fri Sep 18,New Revenue Playbook,Preparing for the Stand: Courtroom Testimony Fundamentals for Appraisers,TBD,Solo,TBD
Fri Sep 18,New Revenue Playbook,Opportunities in Rural Appraising,TBD,Solo,TBD
Fri Sep 18,Career Launchpad,Real-World Pricing Scenarios: Case Studies That Sharpen Agent Judgment,Paul Ryll,Solo,30 minutes
Fri Sep 18,New Revenue Playbook,From Appraiser to Investor: Real Estate Investing for Beginners,TBD,Solo,TBD
Fri Sep 18,Career Launchpad,The Next Generation of Valuation,TBD,Solo,TBD
Fri Sep 18,Career Launchpad,Introduction to Commercial Appraising: A Career Overview,TBD,Solo,TBD
Fri Sep 18,Career Launchpad,PAREA Explained: A Practical Update from the Appraisal Institute,TBD,Solo,60 minutes
Fri Sep 18,Career Launchpad,The Personal Property Valuation Industry,TBD,Solo,TBD
Fri Sep 18,Agent Pricing Lab,"How We Got Here: Appraisal Forms, UAD, and What 3.6 Changes",TBD,Solo,TBD
Fri Sep 18,Agent Pricing Lab,Navigating FHA Condition Issues: Valuation and Documentation Best Practices,TBD,Solo,TBD
Fri Sep 18,Tech Demos,"True Footage Demo: Measuring Homes Accurately, Consistently, and at Scale",Matt Hyatt,Demo,3 hours
Fri Sep 18,Tech Demos,A la mode Demo: Modern Appraisal Reporting in Practice,TBD,Demo,3 hours
Fri Sep 18,New Revenue Playbook,Getting Started in Commercial Valuation: A Practical Entry Point,Paul Ryll,Solo,30 minutes
Fri Sep 18,Appraising in 2027,How Appraisal Review Changes Under UAD 3.6: What Reviewers Actually See,Michele Golden,Solo,30 minutes
Fri Sep 18,New Revenue Playbook,"Insurance Appraisals & Portfolio Risk: Methods, Gaps, and a Practical Framework",Patricia Staebler,Solo,60 minutes
Fri Sep 18,New Revenue Playbook,Expert Witness Foundations: What Appraisers Need to Know to Get Started,Kyle Paquin,Solo,60 minutes
Fri Sep 18,New Revenue Playbook,UAD 3.6 for Agents: How to Read the New Reports,Pamela Teel,Solo,60 minutes
Fri Sep 18,AI Ready Appraiser,Market Moves with Mark and Jeff: AI in Modern Appraisal Practice,"Jeff Morley, Mark Verrett",Panel,30 minutes
Fri Sep 18,Career Launchpad,From College to Commercial Valuation: Building a Path Toward MAI,Brendan Wewer,Solo,TBD
Fri Sep 18,AI Ready Appraiser,Marketing for Appraisal Offices: What Actually Drives Business Growth,David Ziccardi,Solo,60 minutes
Sat Sep 19,Career Launchpad,"What the Best Appraisers Have in Common: Ethics, Judgment, and Professional Trust",Craig Capilla,Panel,60 minutes
Sat Sep 19,Career Launchpad,Why Appraisal Is Still a Great Career — and Why I'd Choose It Again,Lisa Desmarais,Solo,30 minutes
Sat Sep 19,Appraising in 2027,Effectively Hiring Your First Operations Manager,Sierra Alden,Solo,30 minutes
Sat Sep 19,Career Launchpad,Better Together: The Agent–Appraiser Relationship Playbook,Stephanie Streep-Tuley,Solo,30 minutes
Sat Sep 19,AI Ready Appraiser,Computer Vision and Real Estate Appraisal: Practical Applications and Future Impact,Tony Pistilli,Solo,60 minutes
Sat Sep 19,Main Stage,How the Next Generation of Appraisers Is Actually Innovating,"Patrick Livingston, Victor Cornejo, Joshua Cornejo",Panel,60 minutes
Sat Sep 19,New Revenue Playbook,Marketing 101: Clear Branding for Appraisers,Brad Alexander,Solo,30 minutes
Sat Sep 19,Main Stage,Valuation on Trial: Emerging Case Law and Legal Defense Strategies for Appraisers and AMCs,Craig Capilla,Solo,60 minutes
Sat Sep 19,Tech Demos,AIVRE Demo: AI-Assisted Valuation Workflows in Practice,"Jake Lew, Jordan Lesson",Demo,3 hours
Sat Sep 19,Career Launchpad,Professional Life of an Appraiser: From Assignment to Delivery,Jason Covington,Solo,60 minutes
Sat Sep 19,Tech Demos,NightHawk and the Next Generation of Appraisal Reporting,Jeff Bradford,Demo,3 hours
Sat Sep 19,Other,Compliance Command Center,Joshua Walitt,Solo,60 minutes
Sat Sep 19,Main Stage,The Evolving Role of State Appraiser Coalitions,Malinda Griffin,Solo,30 minutes
Sat Sep 19,AI Ready Appraiser,The Responsible Role of AI in Today's Appraisal Practice,Michelle Czekalski Bradley,Solo,60 minutes
Sat Sep 19,Career Launchpad,Reconsideration of Value: Making the Strongest Case Possible,William (Bill) Waltenbaugh,Solo,60 minutes
Sat Sep 19,New Revenue Playbook,Intro to Relocation Appraisal Work,Lisa M. Meinczinger-Gulden,Solo,30 minutes
Sat Sep 19,Main Stage,"AI in Valuation: What's Real, What's Noise, and What Actually Comes Next",Roy Meyer,Solo,60 minutes
Sat Sep 19,New Revenue Playbook,Valuing Luxury Property: A Practical Introduction for Appraisers,MJ Carroll,Solo,60 minutes
Sat Sep 19,New Revenue Playbook,Adding Pre-Listing & Pre-Purchase Appraisals: A Smarter Way to Grow Revenue,Allison Rodriguez,Solo,60 minutes
Sat Sep 19,Main Stage,Exclusive Inventory Update,TBD,Solo,TBD
Sat Sep 19,Main Stage,How Property Ownership Is Being Rewritten: From Fractional Shares to Tokenization,TBD,Solo,TBD
Sat Sep 19,Appraising in 2027,Market Analytics for UAD 3.6: How to Support Trends and Segmentation,Matt Hyatt,Solo,60 minutes
Sat Sep 19,Appraising in 2027,Highlights from the FIVA Network,TBD,Solo,TBD
Sat Sep 19,Appraising in 2027,Integrating Report Writing Support into Your Practice,TBD,Solo,30 minutes
Sat Sep 19,Appraising in 2027,Best Practices for As-Is and As-Repaired Valuations of REO Assets,TBD,Solo,30 minutes
Sat Sep 19,Appraising in 2027,Analytics-Backed Adjustments: Turning Market Data Into Defensible Decisions,George Dell,Solo,90 minutes
Sat Sep 19,AI Ready Appraiser,Using AI (Hansel Dobbs),Hansel Dobbs,Solo,TBD
Sat Sep 19,AI Ready Appraiser,Inside the Engine: How AI Actually Powers Modern Appraisal Platforms,TBD,Solo,TBD
Sat Sep 19,New Revenue Playbook,The World of Business Valuation,TBD,Solo,60 minutes
Sat Sep 19,New Revenue Playbook,Green Valuation in Action: Auditing Energy-Efficient Properties with Confidence,TBD,Solo,TBD
Sat Sep 19,New Revenue Playbook,Estate Valuation Fundamentals: What Every Appraiser Should Know,TBD,Solo,TBD
Sat Sep 19,New Revenue Playbook,Appraising and Home Inspecting,TBD,Solo,TBD
Sat Sep 19,New Revenue Playbook,Navigating Divorce Valuations: From First Steps to Best Practices,TBD,Solo,TBD
Sat Sep 19,New Revenue Playbook,From Assignment to Courtroom: An Intro to Litigation Support and Expert Testimony,TBD,Solo,TBD
Sat Sep 19,Career Launchpad,Getting Hired in Valuation: What Employers Actually Look For,TBD,Solo,TBD
Sat Sep 19,Career Launchpad,Commercial Appraisal in Practice,TBD,Solo,TBD
Sat Sep 19,Career Launchpad,Understanding Appraiser Licensing & Regulation: A State Regulator's Perspective,TBD,Solo,TBD
Sat Sep 19,Career Launchpad,A Career in Assessment,TBD,Solo,TBD
Sat Sep 19,Career Launchpad,A Career in Business Valuation,Rod Burkert,Solo,60 minutes
Sat Sep 19,Career Launchpad,If I Were Starting Today: Real-World Guidance for New Appraisers,TBD,Solo,30 minutes
