#,Nombre,Título,Organización
1,Hansel Dobbs,General Manager and Chief Appraiser,Appraisify
2,Andy Arledge,President/Founder,Freedom Appraise LLC
3,George Dell,Owner,VALUEMETRICS.INFO
4,Mark Verrett,Chief Executive Officer,Accurity Consolidated
5,Jeff Morley,Chief Revenue Officer,Accurity Consolidated
6,Pamela Teel,Certified General Real Estate Appraiser,Independent Practice
7,Kyle Paquin,Appraiser & Educator,Valuable Appraisal
8,Jordan Lesson,CTO,Aivre
9,Justin Gohn,Founder,Gohn & Company
10,Patricia Staebler,Principal/Owner,Staebler Consulting
11,Isaac Peck,President,OREP Insurance
12,Michele Golden,Chief Appraiser,Accurate Group
13,Daniel Lindeman,Owner,Empire Appraisal Group / Appraisal Referral Network
14,Adam Winstead,Chief Appraiser,ATW Appraisal Service
15,Nick Conteduca,Chief Product & Strategy Officer,Banks Technologies
16,Matt Hyatt,Chief Appraiser and General Manager,True Footage
17,Tobias Peter,Codirector,AEI Housing Center
18,John Copulos,Founder,Ask The Appraiser
19,Paul Ryll,Founder and CEO,Oscar Mike Appraisal Group
20,TBD,TBD,TBD
21,Jared Preisler,Chief Appraiser and Director Product Development,DataMaster
22,Chris Hunt,Managing Director,ValuationNEXUS
23,Gavin Curd,Certified Residential Real Estate Appraiser,Curd Brothers LLC
24,Taylor Curd,Certified Residential Real Estate Appraiser,Curd Brothers LLC
25,Roy Meyer,AI Business Consultant,VUVU Global
26,Cathy Putegnat,Owner,Homestead Appraisals Inc.
27,Lisa M. Meinczinger-Gulden,Owner,Advance Appraiser Service
28,Carole Henrysen Strugala,Founder,Zen Appraisals LLC
29,William (Bill) Waltenbaugh,Chief Appraiser,Nationwide Appraisal Network (NAN)
30,Michelle Czekalski Bradley,"Certified General Appraiser, Former Chair Appraisal Standards Board",Bradley Consultants
31,MJ Carroll,Principal Appraiser,"MJ Valuations, Inc."
32,Michael Hobbs,Founder and President,PahRoo Chicago Appraisal & Real Estate Consultancy
33,Susan Alley,Founder,Appraisal Aid
34,Malinda Griffin,President,National Association of Appraisers
35,Lisa Desmarais,Vice President of Appraisal Issues,The Appraisal Foundation
36,Kelly Davids,President,The Appraisal Foundation
37,Joshua Walitt,Founder and Principal Consultant,Walitt Solutions
38,Jeff Bradford,Founder and CEO,Bradford Technologies
39,Jason Covington,Owner,Velox Valuations Nashville
40,Jake Lew,CEO,Aivre
41,Gynell Vestal,"Chief Appraiser & Valuation Leader; Founder","Clear Falls Valuations / TRVS & American Valuation Society"
42,Craig Capilla,Partner,"Franklin, Greenswag, Channon & Capilla LLC"
43,Chad Barker,"CEO, Certified Appraiser",Velox Valuations
44,Brad Alexander,Founder and CEO,ClarityFirst Marketing
45,Patrick Livingston,Founder,Machinery Masterclass Institute
46,Louis Pitoni,Owner,Woodland Appraisal Group
47,David Ziccardi,Founder,Valiant Appraisal Services
48,Allison Rodriguez,Owner,Ardent Appraisals
49,Joshua Cornejo,Co-Owner / Certified Residential Appraiser,Appraisal Brothers
50,Victor Cornejo,Co-Owner / Certified Residential Appraiser,Appraisal Brothers
51,Tony Pistilli,"President, Valuations",Restb.ai
52,Stephanie Streep-Tuley,Certified Residential Appraiser,San Antonio area firm
53,Sierra Alden,COO,Oscar Mike Appraisal Group
54,Remington Jones,CEO,"Software for Real Estate Professionals, Inc. (SFREP)"
