Session Title,Speaker(s),Track,Day
"The Appraisal Foundation's View: Standards, Change, and the Road Ahead",Kelly Davids,Main Stage,Day 1
"Housing Right Now: When the Data Says and What Appraisers Are Seeing on the Ground",Michael Hobbs,Main Stage,Day 1
"Navigating UAD 3.6: Appraisers Compare Notes",Adam Winstead,Main Stage,Day 1
"Valuation on Trial: Emerging Case Law and Legal Defense Strategies for Appraisers and AMCs",Craig Capilla,Main Stage,Day 2
"How the Next Generation of Appraisers Is Actually Innovating","Patrick Livingston, Victor Cornejo, Joshua Cornejo",Main Stage,Day 2
"The Evolving Role of State Appraiser Coalitions",Malinda Griffin,Main Stage,Day 2
"AI in Valuation: What's Real, What's Noise, and What Actually Comes Next",Roy Meyer,Main Stage,Day 2
"When Data Is Everywhere: Why Appraisers Matter More in an AI World","Taylor Curd, Gavin Curd",AI Ready Appraiser,Day 1
"Using AI Beyond the Appraisal Process: Creating Value Across the Valuation Workflow",Narainder Chandwani,AI Ready Appraiser,Day 1
"AI for Appraisers: A Practical Starter Kit That Actually Works",Roy Meyer,AI Ready Appraiser,Day 1
"Market Moves with Mark and Jeff: AI in Modern Appraisal Practice","Jeff Morley, Mark Verrett",AI Ready Appraiser,Day 1
"Marketing for Appraisal Offices: What Actually Drives Business Growth",David Ziccardi,AI Ready Appraiser,Day 1
"Computer Vision and Real Estate Appraisal: Practical Applications and Future Impact",Tony Pistilli,AI Ready Appraiser,Day 2
"The Responsible Role of AI in Today's Appraisal Practice",Michelle Czekalski Bradley,AI Ready Appraiser,Day 2
"Using AI",Hansel Dobbs,AI Ready Appraiser,Day 2
"Beyond Chatbots: Agentic AI for Appraisers",Justin Gohn,AI Ready Appraiser,Day 2
"The Power of Referrals",Daniel Lindeman,Appraising in 2027,Day 1
"Running a Modern Appraisal Firm Under UAD 3.6",Chad Barker,Appraising in 2027,Day 1
"UAD 3.6 Readiness: What's Changing and How to Avoid Costly Mistakes",Joshua Walitt,Appraising in 2027,Day 1
"The 2026 Housing Market So Far: Volume, Home Price and Supply Trends, and Appraisal Waivers Usage",Tobias Peter,Appraising in 2027,Day 1
"QC & Review in the UAD 3.6 Era: What Will Get Flagged and Why",Susan Alley,Appraising in 2027,Day 1
"How Appraisal Review Changes Under UAD 3.6: What Reviewers Actually See",Michele Golden,Appraising in 2027,Day 1
"Effectively Hiring Your First Operations Manager",Sierra Alden,Appraising in 2027,Day 2
"Market Analytics for UAD 3.6: How to Support Trends and Segmentation",Matt Hyatt,Appraising in 2027,Day 2
"Analytics-Backed Adjustments: Turning Market Data Into Defensible Decisions",George Dell,Appraising in 2027,Day 2
"How Appraisers Can Diversify Revenue Through Specialization and Technology",Nick Conteduca,Appraising in 2027,Day 2
"What's Getting Appraisers Sued: Risk and Liability in Today's Market",Isaac Peck,Appraising in 2027,Day 2
